delay,freq,condition,textbox.text,,,,,,,
0.7,400,exp,780,,,,,,,
0.1,1000,unexp,510,,,,,,,
0.4,1000,unexp,310,,,,,,,
0.7,1000,unexp,5=370,,,,,,,
0.4,400,exp,560,,,,,,,
0.7,400,exp,890,,,,,,,
0.1,400,exp,520,,,,,,,
0.4,1000,unexp,450,,,,,,,
0.4,400,exp,570,,,,,,,
0.1,1000,unexp,960,,,,,,,
0.7,400,exp,350,,,,,,,
0.7,1000,unexp,460,,,,,,,
0.4,1000,unexp,210,,,,,,,
0.1,1000,unexp,650,,,,,,,
0.7,400,exp,430,,,,,,,
0.1,400,exp,370,,,,,,,
0.7,400,exp,790,,,,,,,
0.1,400,exp,590,,,,,,,
0.1,1000,unexp,360,,,,,,,
0.1,400,exp,780,,,,,,,
0.4,1000,unexp,530,,,,,,,
0.7,400,exp,990,,,,,,,
0.4,400,exp,770,,,,,,,
0.1,1000,unexp,430,,,,,,,
0.4,1000,unexp,610,,,,,,,
0.7,1000,unexp,120,,,,,,,
0.1,400,exp,250,,,,,,,
0.7,400,exp,580,,,,,,,
0.1,400,exp,430,,,,,,,
0.7,1000,unexp,"810
",,,,,,,
0.1,1000,unexp,760,,,,,,,
0.4,400,exp,640,,,,,,,
0.4,1000,unexp,"320
",,,,,,,
0.7,400,exp,890,,,,,,,
0.4,1000,unexp,260,,,,,,,
0.1,1000,unexp,540,,,,,,,
0.4,1000,unexp,950,,,,,,,
0.1,400,exp,740,,,,,,,
0.7,400,exp,660,,,,,,,
0.1,400,exp,590,,,,,,,
0.1,1000,unexp,570,,,,,,,
0.4,400,exp,390,,,,,,,
0.1,1000,unexp,440,,,,,,,
0.7,400,exp,450,,,,,,,
0.4,1000,unexp,890,,,,,,,
0.7,1000,unexp,770,,,,,,,
0.4,1000,unexp,690,,,,,,,
0.1,1000,unexp,820,,,,,,,
0.4,1000,unexp,550,,,,,,,
0.7,400,exp,430,,,,,,,
0.4,400,exp,740,,,,,,,
0.7,400,exp,870,,,,,,,
0.1,1000,unexp,"690
",,,,,,,
0.7,1000,unexp,130,,,,,,,
0.1,400,exp,420,,,,,,,
0.1,400,exp,570,,,,,,,
0.4,400,exp,640,,,,,,,
0.1,400,exp,980,,,,,,,
0.7,400,exp,120,,,,,,,
0.4,1000,unexp,190,,,,,,,
0.1,1000,unexp,630,,,,,,,
0.1,400,exp,100,,,,,,,
0.1,1000,unexp,770,,,,,,,
0.7,1000,unexp,650,,,,,,,
0.4,1000,unexp,300,,,,,,,
0.7,400,exp,790,,,,,,,
0.1,400,exp,550,,,,,,,
0.4,1000,unexp,330,,,,,,,
