staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
68,0.5,18.5,108.50380760000553,,108.48911330000556,108.50380760000553,109.00437429999874,109.00437429999874,109.00437429999874,,109.240486900002,left,-18.5,1,1,0.2328743999969447,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
69,0.5,18.5,109.25479079999786,,109.24061569999321,109.25479079999786,109.75375610000629,109.75375610000629,109.75375610000629,110.05369919999794,110.05523929999617,right,18.5,1,1,0.2934960999991745,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
70,0.5,18.5,110.0702736999956,,110.0553157999966,110.0702736999956,110.5547871000017,110.5547871000017,110.57144509999489,110.85457060000044,110.87226560000272,left,-18.5,1,1,0.3120388999959687,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
71,0.5,18.0,110.88774079999712,,110.87242260000494,110.88774079999712,111.38690450000286,111.38690450000286,111.38690450000286,111.68720620000386,111.68863330000022,right,18.0,1,1,0.2866232999949716,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
72,0.5,18.0,111.7040929000068,,111.68878179999592,111.7040929000068,112.20436230000632,112.20436230000632,112.20436230000632,,112.47199289999844,right,18.0,0,0,0.25448879999748897,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
73,0.5,18.5,112.48722270000144,,112.4721159000037,112.48722270000144,112.98710359999677,112.98710359999677,112.98710359999677,113.28713969999808,113.7893069999991,right,18.5,1,1,0.7887244000012288,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
74,0.5,18.5,113.80454219999956,,113.7894718000025,113.80454219999956,114.3038058999955,114.3038058999955,114.3038058999955,114.60426670000015,114.75572840000677,right,18.5,1,1,0.43986969999969006,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
75,0.5,18.5,114.77123680000659,,114.75589859999309,114.77123680000659,115.27121140000236,115.27121140000236,115.27121140000236,115.57075970000005,115.7553343000036,left,-18.5,1,1,0.4767390999913914,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
76,0.5,18.0,115.7706932000001,,115.755456400002,115.7706932000001,116.27073669999663,116.27073669999663,116.27073669999663,116.5712085999985,116.70617020000645,left,-18.0,1,1,0.4231627999979537,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
77,0.5,18.0,116.72095309999713,,116.70632939999632,116.72095309999713,117.22073669999372,117.22073669999372,117.22073669999372,117.52117890000227,117.68742639999255,left,-18.0,1,1,0.4593332999938866,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
