trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
61,0,61,0,92.63524380000308,,92.5940239999909,5,92.63524380000308,92.63524380000308,0.030366500024683774,93.72146160004195,[0.11388888888888889],[-0.35833333333333334],[1],[0],[0],[1.097236800007522],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
62,0,62,0,93.77020170004107,,93.72898599994369,5,93.77020170004107,93.77020170004107,0.03124580008443445,95.38547979993746,[-0.23796296296296296],[-0.23055555555555557],[1],[0],[0],[1.6261418999638408],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
63,0,63,0,95.4573129999917,,95.39328399999067,10,95.4573129999917,95.4573129999917,0.04793570004403591,96.43428459996358,[-0.1648148148148148],[-0.003703703703703704],[1],[0],[0],[0.9936049000825733],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
64,0,64,0,96.50634139997419,,96.44184240000322,10,96.50634139997419,96.50634139997419,0.049648100044578314,98.06289529998321,[0.42592592592592593],[0.16203703703703703],[1],[0],[0],[1.5724324999609962],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
65,0,65,0,98.09246199997142,,98.06723579997197,5,98.09246199997142,98.09246199997142,0.016067099990323186,99.28490480000619,[-0.2759259259259259],[-0.15555555555555556],[1],[0],[0],[1.201710700057447],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
66,0,66,0,99.3230827000225,,99.29235470003914,5,99.3230827000225,99.3230827000225,0.02097049995791167,100.78814700001385,[-0.41944444444444445],[-0.3814814814814815],[1],[0],[0],[1.4756331000244245],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
67,0,67,0,100.83183559996542,,100.79556100000627,5,100.83183559996542,100.83183559996542,0.02683210000395775,102.35145399998873,[0.23333333333333334],[-0.42685185185185187],[1],[0],[0],[1.5297794000944123],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
68,0,68,0,102.414282899932,,102.35923950001597,10,102.414282899932,102.414282899932,0.03978570003528148,103.36749620002229,[0.13148148148148148],[-0.14814814814814814],[1],[0],[0],[0.969609500025399],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
69,0,69,0,103.43249199993443,,103.3719178000465,10,103.43249199993443,103.43249199993443,0.04679639998357743,104.70236560003832,[0.05925925925925926],[0.337037037037037],[1],[0],[0],[1.284197899978608],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
70,0,70,0,104.75053930003196,,104.70548969996162,10,104.75053930003196,104.75053930003196,0.02873879997059703,105.5509735000087,[0.12314814814814815],[0.22870370370370371],[1],[0],[0],[0.8167149000801146],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
71,0,71,0,105.60255219996907,,105.5564013000112,10,105.60255219996907,105.60255219996907,0.030485800001770258,107.1883674999699,[-0.33055555555555555],[-0.30185185185185187],[1],[0],[0],[1.6020116999279708],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
72,0,72,0,107.2399093999993,,107.19394829997327,10,107.2399093999993,107.2399093999993,0.03074780001770705,108.36707249993924,[-0.06666666666666667],[0.09259259259259259],[1],[0],[0],[1.143102700007148],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
73,0,73,0,108.41613060003147,,108.3721081999829,5,108.41613060003147,108.41613060003147,0.029933199984952807,109.66712859994732,[-0.3037037037037037],[-0.05740740740740741],[1],[0],[0],[1.2655582000734285],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
74,0,74,0,109.70178460003808,,109.67391290003434,5,109.70178460003808,109.70178460003808,0.01830220001284033,111.08396009996068,[0.2175925925925926],[0.013888888888888888],[1],[0],[0],[1.3919603000395],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
